Instance,Sum of Costs
inst_1.txt,"	18"
inst_2.txt,0
inst_3.txt,0
inst_4.txt,0
inst_5.txt,0
inst_6.txt,0
inst_7.txt,0
inst_8.txt,0
inst_9.txt,"	95"
inst_10.txt,0
inst_11.txt,0
inst_12.tx   0,
inst_13.txt,0
inst_14.txt,0
inst_15.txt,0
inst_16.txt,"	29"
inst_17.txt,"	68"
inst_18.txt,"	20"
inst_19.txt,"	34"
inst_20.txt,"	0"
inst_21.txt,"	0"
inst_22.txt,"	21"
inst_23.txt,"	33"
inst_24.txt,"	54"
inst_25.txt,"	86"
inst_26.txt,"	66"
inst_27.txt,"	47"
inst_28.txt,"	24"
inst_29.txt,"	34"
inst_30.txt,"	0"
inst_31.txt,"	0"
inst_32.txt,"	0"
inst_33.txt,"	17"
inst_34.txt,"	0"
inst_35.txt,"	36"
inst_36.txt,"	0"
inst_37.txt,"	0"
inst_38.txt,"	0"
inst_39.txt,"	0"
inst_40.txt,"	0"
hard_inst_1.txt,"	65"
hard_inst_5.txt,"	34"
hard_inst_6.txt,"	50"
